rank,run_name,hidden_dim,activation,lr,lr_decay,weight_decay,epochs,best_val_acc,checkpoint_path
452,hd128_sigmoid_lr0p05_decay1p0_wd0p0,128,sigmoid,0.05,1.0,0.0,50,0.8928333333333334,model/weights/hd128_sigmoid_lr0p05_decay1p0_wd0p0_best.npz
453,hd256_tanh_lr0p05_decay0p9_wd0p0001,256,tanh,0.05,0.9,0.0001,50,0.8928333333333334,model/weights/hd256_tanh_lr0p05_decay0p9_wd0p0001_best.npz
454,hd256_tanh_lr0p05_decay0p9_wd0p0,256,tanh,0.05,0.9,0.0,50,0.8928333333333334,model/weights/hd256_tanh_lr0p05_decay0p9_wd0p0_best.npz
455,hd256_tanh_lr0p05_decay0p9_wd1e-05,256,tanh,0.05,0.9,1e-05,50,0.8928333333333334,model/weights/hd256_tanh_lr0p05_decay0p9_wd1e-05_best.npz
456,hd128_relu_lr0p05_decay0p9_wd1e-05,128,relu,0.05,0.9,1e-05,50,0.8926666666666667,model/weights/hd128_relu_lr0p05_decay0p9_wd1e-05_best.npz
457,hd128_sigmoid_lr0p05_decay1p0_wd0p0001,128,sigmoid,0.05,1.0,0.0001,50,0.8926666666666667,model/weights/hd128_sigmoid_lr0p05_decay1p0_wd0p0001_best.npz
458,hd128_sigmoid_lr0p2_decay0p98_wd0p001,128,sigmoid,0.2,0.98,0.001,50,0.8926666666666667,model/weights/hd128_sigmoid_lr0p2_decay0p98_wd0p001_best.npz
459,hd768_tanh_lr0p01_decay1p0_wd0p0001,768,tanh,0.01,1.0,0.0001,50,0.8926666666666667,model/weights/hd768_tanh_lr0p01_decay1p0_wd0p0001_best.npz
460,hd768_tanh_lr0p01_decay1p0_wd0p0,768,tanh,0.01,1.0,0.0,50,0.8926666666666667,model/weights/hd768_tanh_lr0p01_decay1p0_wd0p0_best.npz
461,hd128_relu_lr0p05_decay0p9_wd0p0001,128,relu,0.05,0.9,0.0001,50,0.8925,model/weights/hd128_relu_lr0p05_decay0p9_wd0p0001_best.npz
462,hd128_sigmoid_lr0p05_decay1p0_wd1e-05,128,sigmoid,0.05,1.0,1e-05,50,0.8925,model/weights/hd128_sigmoid_lr0p05_decay1p0_wd1e-05_best.npz
463,hd768_tanh_lr0p01_decay1p0_wd1e-05,768,tanh,0.01,1.0,1e-05,50,0.8925,model/weights/hd768_tanh_lr0p01_decay1p0_wd1e-05_best.npz
464,hd128_relu_lr0p05_decay0p9_wd0p0,128,relu,0.05,0.9,0.0,50,0.8923333333333333,model/weights/hd128_relu_lr0p05_decay0p9_wd0p0_best.npz
465,hd256_tanh_lr0p01_decay1p0_wd0p0,256,tanh,0.01,1.0,0.0,50,0.8923333333333333,model/weights/hd256_tanh_lr0p01_decay1p0_wd0p0_best.npz
466,hd256_tanh_lr0p01_decay1p0_wd1e-05,256,tanh,0.01,1.0,1e-05,50,0.8923333333333333,model/weights/hd256_tanh_lr0p01_decay1p0_wd1e-05_best.npz
467,hd256_tanh_lr0p05_decay0p9_wd0p001,256,tanh,0.05,0.9,0.001,50,0.8923333333333333,model/weights/hd256_tanh_lr0p05_decay0p9_wd0p001_best.npz
468,hd512_sigmoid_lr0p1_decay0p95_wd1e-05,512,sigmoid,0.1,0.95,1e-05,50,0.8923333333333333,model/weights/hd512_sigmoid_lr0p1_decay0p95_wd1e-05_best.npz
469,hd512_sigmoid_lr0p2_decay0p98_wd0p001,512,sigmoid,0.2,0.98,0.001,50,0.8923333333333333,model/weights/hd512_sigmoid_lr0p2_decay0p98_wd0p001_best.npz
